,x,y,time,theta
169.0,1059.6248779296875,169.00137329101562,6.27112603187561,-0.17139848523365583
170.0,1030.785400390625,157.02178955078125,6.3072426319122314,-0.1804918364375475
171.0,1002.5,144.0,6.33926248550415,-0.19038189748900058
172.0,982.5,131.0,6.370878458023071,-0.2002607654535315
173.0,952.0,117.5,6.406977415084839,-0.210524741410423
174.0,923.0,110.5,6.439029693603516,-0.21584869457504102
175.0,892.6385498046875,104.79369354248047,6.4712138175964355,-0.22018959655320341
176.0,865.0,101.0,6.506799697875977,-0.2230759544032212
177.0,841.5,99.0,6.539926290512085,-0.22459774528315402
178.0,815.0,99.0,6.571645975112915,-0.22459774528315402
179.0,797.6063232421875,99.21260070800781,6.607337713241577,-0.22443597419370342
180.0,777.5,106.0,6.638858079910278,-0.2192718708998586
181.0,761.5,115.65740966796875,6.671525239944458,-0.2119260306888258
182.0,746.3135986328125,129.56260681152344,6.707278251647949,-0.20135336703048046
183.0,729.5,146.54425048828125,6.739616394042969,-0.18844909984628977
184.0,724.5206298828125,166.60740661621094,6.77144455909729,-0.17321526166244158
185.0,718.20751953125,187.19677734375,6.807354211807251,-0.15759718833074995
186.0,708.2322387695312,207.29042053222656,6.8391687870025635,-0.1423718896971565
187.0,698.2212524414062,227.36842346191406,6.87110710144043,-0.1271767056120797
188.0,687.5070190429688,245.11322021484375,6.907329320907593,-0.11376388251963174
189.0,676.4446411132812,266.3638610839844,6.93899941444397,-0.09772326569960046
190.0,669.5887451171875,284.7546691894531,6.971101760864258,-0.08386230654049065
191.0,659.9450073242188,307.7582702636719,7.007074594497681,-0.06655418148260667
192.0,657.3819580078125,328.8442077636719,7.039114475250244,-0.05071965703538567
193.0,660.0149536132812,351.7875671386719,7.071798801422119,-0.03352597628010723
194.0,661.1769409179688,378.9403381347656,7.1067986488342285,-0.013229039194701753
195.0,667.02392578125,405.464111328125,7.139018535614014,0.006540487869459433
196.0,681.0,423.0,7.171154499053955,0.01957805270909102
197.0,703.0,449.0,7.206756591796875,0.03885789391643013
198.0,737.5014038085938,491.7373962402344,7.238749265670776,0.0704098446217295
199.0,770.6255493164062,522.0679931640625,7.271137714385986,0.09269049737141422
200.0,808.1224975585938,548.278076171875,7.306847333908081,0.11186524530684444
201.0,848.95361328125,571.4385375976562,7.338804006576538,0.12874538908950606
202.0,887.20654296875,591.3478393554688,7.371340751647949,0.14320664946834666
203.0,924.8131103515625,602.937255859375,7.407424688339233,0.15160315883713094
204.0,959.8432006835938,605.0744018554688,7.438875913619995,0.15314975904426775
205.0,991.9210205078125,610.2326049804688,7.471612215042114,0.1568803504698777
206.0,1018.9212036132812,608.5949096679688,7.506852865219116,0.1556962616540541
207.0,1035.0,602.0,7.539234161376953,0.15092471624664017
208.0,1044.5,594.5,7.571307897567749,0.14549196976823175
209.0,1028.5850830078125,593.5425415039062,7.606886386871338,0.144797935986951
210.0,1021.3292846679688,582.4024658203125,7.6387879848480225,0.13671484858502836
211.0,1003.544189453125,567.8765258789062,7.671277761459351,0.1261532425382843
212.0,969.5,552.5,7.7075653076171875,0.11494684257185978
213.0,932.5,534.0,7.739078044891357,0.10142899392264976
214.0,894.25,508.1875,7.7710862159729,0.08250588716263813
215.0,854.0,482.5,7.806816577911377,0.06360533260926099
216.0,837.3508911132812,444.6437683105469,7.838926792144775,0.03563193861131797
217.0,791.9268188476562,440.9999084472656,7.871083974838257,0.03293216623974504
218.0,727.7033081054688,411.1246032714844,7.906833648681641,0.010751870178908662
219.0,694.8045654296875,386.4027404785156,7.939491271972656,-0.007661050858599694
220.0,708.081298828125,370.4638977050781,7.97160267829895,-0.019559070338243334
221.0,670.8714599609375,339.0672607421875,8.006923913955688,-0.04305380443861845
222.0,640.8084106445312,304.4621276855469,8.038886547088623,-0.06903213645958972
223.0,614.0,264.0,8.071534156799316,-0.09950632636627227
224.0,562.5,206.0,8.106745958328247,-0.1433491324883447
225.0,549.5,157.5,8.139115333557129,-0.1801287435705835
226.0,544.5,109.5,8.170919418334961,-0.2166093584991997
227.0,565.0,77.5,8.20730710029602,-0.24096215385235198
228.0,604.0,67.0,8.239135503768921,-0.24895708506701253
229.0,675.7570190429688,92.74710083007812,8.271411895751953,-0.22935610322153444
230.0,736.2406616210938,105.26118469238281,8.307326555252075,-0.2198339377917321
231.0,791.5,151.0,8.339498519897461,-0.18506469317771737
232.0,836.2259521484375,210.60250854492188,8.37162470817566,-0.13986397295267866
233.0,885.5,278.0,8.406866788864136,-0.08895087951741273
234.0,941.5,318.5,8.438982486724854,-0.05848385907580714
235.0,988.2198486328125,353.74920654296875,8.471318483352661,-0.032057730447387134
236.0,1037.9058837890625,386.1021728515625,8.506795167922974,-0.007885228441441183
237.0,1079.4515380859375,406.7767639160156,8.538922309875488,0.007517341339424777
238.0,1112.4232177734375,418.486328125,8.571368217468262,0.016224804240001722
239.0,1131.390869140625,421.829345703125,8.607506513595581,0.01870853608949774
240.0,1143.143310546875,419.57818603515625,8.64162540435791,0.01703612068977911
241.0,1146.6431884765625,412.5354919433594,8.673780679702759,0.011801134556240489
242.0,1144.7271728515625,407.60528564453125,8.706779479980469,0.008133836861018984
243.0,1134.135498046875,395.05828857421875,8.73893690109253,-0.001208527934053627
244.0,1113.1365966796875,382.3861083984375,8.77157187461853,-0.010657454540244804
245.0,1086.8609619140625,367.3791198730469,8.806888341903687,-0.021864130061209686
246.0,1055.5,342.0,8.839508056640625,-0.04085605281019894
247.0,1014.947021484375,325.9120178222656,8.871223211288452,-0.05291975676175381
248.0,968.0,300.0,8.907037019729614,-0.07238778269599111
249.0,926.0,277.0,8.939460754394531,-0.08970445580369169
250.0,881.56787109375,271.8166809082031,8.971274852752686,-0.09361143802147692
251.0,847.2138671875,243.94635009765625,9.007474184036255,-0.11464538619298295
252.0,814.816650390625,218.90554809570312,9.038990020751953,-0.13357913714940242
253.0,780.5,196.5,9.071367740631104,-0.1505458137462396
254.0,757.5,179.0,9.107156991958618,-0.16381287889663987
255.0,730.0,161.5,9.139092206954956,-0.17709195878978634
